x,y,r,maturity,stress,nab1,t_birth,t_death
255,330,150,1,0,0,1498.0,1529.9
20,-201,150,1,0,0,1480.9,1530.1
118,-457,150,1,0,0,1524.3,1530.4
65,427,150,1,0,0,1530.0,1532.0
788,111,150,0,0,0,1532.1,-1532.2
221,89,150,1,0,0,1510.4,1532.9
339,441,150,1,0,0,1493.1,1533.2
121,161,150,1,0,0,1529.9,1534.1
786,344,150,1,0,0,1505.3,1534.3
166,274,150,1,0,0,1415.7,1534.3
851,433,150,1,0,0,1515.1,1537.6
910,-449,150,1,0,0,1534.0,1538.9
259,-286,150,1,0,0,1475.2,1540.6
726,-408,150,1,0,0,1527.4,1541.3
145,281,150,1,0,0,1517.2,1541.6
945,-460,150,1,0,0,1517.2,1542.6
406,117,150,1,0,0,1533.9,1542.9
234,-156,150,1,0,0,1535.2,1543.6
266,192,150,1,0,0,1543.4,1544.8
338,-380,150,1,0,0,1541.6,1546.4
41,108,150,1,0,0,1544.1,1547.2
243,-66,150,1,0,0,1483.2,1547.3
52,273,150,1,0,0,1523.9,1550.6
879,-111,150,0,0,0,1550.9,-1550.9
311,324,150,1,0,0,1542.3,1551.1
265,491,150,1,0,0,1547.4,1554.6
847,-192,150,0,0,0,1554.7,-1554.7
736,127,150,0,0,0,1555.8,-1555.8
498,-403,150,0,0,0,1556.2,-1556.2
687,-294,150,0,0,0,1557.1,-1557.3
119,-190,150,1,0,0,1537.4,1558.3
749,90,150,0,0,0,1558.5,-1558.6
101,-6,150,1,0,0,1557.7,1558.8
712,-219,150,0,0,0,1558.9,-1559.0
872,-291,150,1,0,0,1529.8,1559.4
666,251,150,0,0,0,1559.5,-1559.5
43,-273,150,1,0,0,1550.0,1559.7
215,-411,150,1,0,0,1537.7,1561.4
675,-367,150,0,0,0,1561.5,-1561.6
597,90,150,0,0,0,1562.1,-1562.1
965,420,150,1,0,0,1537.8,1562.4
394,-122,150,1,0,0,1530.6,1563.0
846,30,150,1,0,0,1482.2,1563.5
831,-148,150,0,0,0,1563.5,-1563.5
202,453,150,1,0,0,1556.5,1563.5
352,-342,150,1,0,0,1563.1,1564.1
383,-212,150,1,0,0,1552.0,1564.6
515,8,150,1,0,0,1561.6,1566.1
892,48,150,1,0,0,1544.1,1568.5
533,282,150,1,0,0,1490.6,1568.9
895,-237,150,0,0,0,1569.1,-1569.1
216,54,150,1,0,0,1568.0,1569.4
302,391,150,1,0,0,1488.9,1570.7
226,-249,150,1,0,0,1566.1,1570.7
84,455,150,1,0,0,1562.0,1572.6
348,-43,150,1,0,0,1552.4,1574.1
997,-314,150,1,0,0,1556.5,1574.4
759,53,150,1,0,0,1574.4,1575.4
115,349,150,1,0,0,1523.2,1576.1
83,-232,150,1,0,0,1570.6,1577.3
505,61,150,1,0,0,1576.2,1577.4
618,-295,150,0,0,0,1578.4,-1578.4
558,275,150,1,0,0,1575.8,1578.4
911,-53,150,0,0,0,1578.4,-1578.4
489,495,150,1,0,0,1557.3,1578.6
999,131,150,1,0,0,1558.2,1579.2
588,-255,150,0,0,0,1580.0,-1580.1
411,-499,150,1,0,0,1580.5,1581.3
